"code","error","x-global-transaction-id","usage__text_units","usage__text_characters","usage__features","language","keywords__text","keywords__sentiment__score","keywords__sentiment__label","keywords__relevance","keywords__emotion__sadness","keywords__emotion__joy","keywords__emotion__fear","keywords__emotion__disgust","keywords__emotion__anger"
"","","","1","155","1","en","chanel rouge coco","-0.728622","negative","0.901115","0.438495","0.129373","0.103996","0.042083","0.089574"
"","","","1","30","1","en","point","0.626785","positive","0.992383","0.185994","0.23156","0.043483","0.068724","0.285207"
"","","","1","158","1","en","plump lips","0.785386","positive","0.960731","0.354591","0.56462","0.106461","0.009912","0.032321"
"","","","1","152","1","en","long lasting watery","0.958287","positive","0.908527","0.144551","0.736249","0.096201","0.016325","0.012841"
"","","","1","19","1","en","","","","","","","","",""
"","","","1","18","1","en","","","","","","","","",""
"400","invalid request: content is empty","683fc2df5a72cdbe0b11a80d","","","","","","","","","","","","",""
"","","","1","54","1","en","innovative jelly gloss","0.85635","positive","0.947587","0.069261","0.78876","0.023947","0.024386","0.038254"
"","","","1","82","1","en","new jelly texture","0.928565","positive","0.966466","0.167312","0.637099","0.107957","0.074275","0.023162"
"","","","1","47","1","en","tempting shades","0.816737","positive","0.901668","0.126188","0.288655","0.23235","0.134281","0.178275"
"","","","1","92","1","en","lip gloss","0.904984","positive","0.915675","0.108406","0.752991","0.042505","0.023738","0.018052"
"","","","1","30","1","en","natural ingredients","0.814986","positive","0.900528","0.142209","0.447396","0.031293","0.044321","0.014683"
"","","","1","105","1","en","jelly texture","0.777122","positive","0.988173","0.506307","0.192601","0.110421","0.172497","0.072625"
"400","not enough text provided for language detection","683fc2df5a72cdbe0b11afbd","","","","","","","","","","","","",""
"","","","1","82","1","en","lip gloss","0","neutral","0.999646","0.056342","0.604207","0.311314","0.026589","0.053321"
"","","","1","38","1","en","shades","0.769514","positive","0.979459","0.239862","0.329729","0.072753","0.056691","0.119705"
"","","","1","89","1","en","different ingredients","0.730086","positive","0.911779","0.270981","0.37206","0.034969","0.116669","0.061069"
"","","","1","23","1","en","","","","","","","","",""
"","","","1","94","1","en","good feed","0.646037","positive","0.989846","0.282755","0.148718","0.02881","0.022033","0.029141"
"","","","1","92","1","en","lips","0.904845","positive","0.94041","0.273443","0.336687","0.034295","0.279033","0.009581"
"","","","1","119","1","en","jelly gloss effect","0.87444","positive","0.923598","0.228576","0.17629","0.163476","0.035739","0.025402"
"","","","1","88","1","en","non-sticky watery texture","0.873009","positive","0.991595","0.307378","0.210074","0.419143","0.079767","0.098066"
"","","","1","19","1","en","","","","","","","","",""
"","","","1","38","1","en","color","0.896955","positive","0.941451","0.301637","0.328989","0.098726","0.033348","0.051675"
"","","","1","25","1","en","spherical glass beads","0","neutral","0.995598","0.281997","0.272593","0.163981","0.164092","0.234726"
"400","not enough text provided for language detection","683fc2df5a72cdbe0b11a7ad","","","","","","","","","","","","",""
"","","","1","95","1","en","optimistic adjectives","0.896363","positive","0.908564","0.053775","0.741069","0.019829","0.020118","0.020161"
"","","","1","46","1","en","countless effects","-0.66896","negative","0.919225","0.329532","0.168271","0.205681","0.038709","0.083695"
"","","","1","40","1","en","high class","0.53059","positive","0.983949","0.485386","0.25296","0.156853","0.132929","0.107954"
"","","","1","63","1","en","great product","0.818734","positive","0.98611","0.041415","0.795996","0.02377","0.0164","0.014477"
"","","","1","39","1","en","nice product","0.81459","positive","0.912128","0.111261","0.638542","0.033948","0.017546","0.016212"
"","","","1","103","1","en","organic ingredients","0.911894","positive","0.984374","0.118366","0.58987","0.046836","0.181665","0.008631"
"","","","1","54","1","en","lips","0.928547","positive","0.914003","0.13342","0.612867","0.077455","0.180142","0.073628"
"","","","1","57","1","en","long wear","0.598593","positive","0.975593","0.358732","0.126193","0.152276","0.079356","0.033263"
"","","","1","47","1","en","information","0.726321","positive","0.987558","0.127367","0.298271","0.038182","0.039023","0.073392"
"","","","1","72","1","en","lips","0.909618","positive","0.992015","0.051537","0.789297","0.07392","0.067563","0.026406"
"","","","1","32","1","en","natural waxes","0.842073","positive","0.904426","0.137388","0.432894","0.054021","0.031552","0.029585"
"","","","1","38","1","en","texture","0.763918","positive","0.963541","0.13233","0.268629","0.069131","0.157681","0.062774"
"","","","1","68","1","en","little details","0.935738","positive","0.97475","0.026946","0.173095","0.073471","0.014845","0.033033"
"","","","1","114","1","en","wide variety","0.884286","positive","0.961245","0.190372","0.179895","0.071279","0.139518","0.329051"
"","","","1","151","1","en","good thing","0.91386","positive","0.982024","0.065733","0.796175","0.065748","0.039725","0.0137"
"","","","1","25","1","en","waxes","0.485164","positive","0.976431","0.10476","0.448856","0.046146","0.040283","0.050616"
"","","","1","24","1","en","nice appearance","0.872337","positive","0.9202","0.081022","0.777752","0.016375","0.021401","0.017991"
"","","","1","72","1","en","jelly gloss w/e","0.465694","positive","0.92041","0.114419","0.313644","0.112121","0.050756","0.02383"
"","","","1","30","1","en","","","","","","","","",""
"","","","1","152","1","en","jelly gloss","0","neutral","0.977288","0.068224","0.638839","0.114983","0.023567","0.092034"
"","","","1","74","1","en","lip gloss","0","neutral","0.92569","0.134378","0.185473","0.121031","0.210226","0.062169"
"","","","1","49","1","en","aloe oils","0.611228","positive","0.982539","0.253024","0.307212","0.058951","0.093045","0.098171"
"","","","1","32","1","en","","","","","","","","",""
"","","","1","31","1","en","","","","","","","","",""
"","","","1","26","1","en","","","","","","","","",""
"","","","1","52","1","en","nourishing product","-0.793999","negative","0.992763","0.236522","0.092271","0.040814","0.014763","0.010723"
"","","","1","66","1","en","natural ingredients","0.518243","positive","0.977166","0.124435","0.34826","0.028744","0.035772","0.013093"
"","","","1","112","1","en","shades","0","neutral","0.940378","0.237054","0.128548","0.024848","0.034391","0.081719"
"","","","1","31","1","en","","","","","","","","",""
"","","","1","60","1","en","lip gloss wearers","-0.669774","negative","0.992591","0.046411","0.22597","0.126834","0.041997","0.049172"
"","","","1","119","1","en","shades","0.749162","positive","0.989684","0.193441","0.31877","0.097727","0.048625","0.039317"
"","","","1","86","1","en","break","0","neutral","0.905236","0.494178","0.086105","0.103897","0.150305","0.180858"
"","","","1","147","1","en","products smooths","0","neutral","0.936378","0.281497","0.48543","0.142178","0.076659","0.010328"
"","","","1","40","1","en","product","-0.654577","negative","0.903028","0.529602","0.063498","0.052845","0.026082","0.046534"
"","","","1","27","1","en","","","","","","","","",""
"","","","1","74","1","en","jelly product","0","neutral","0.910137","0.182267","0.136979","0.063961","0.042442","0.036238"
"","","","1","61","1","en","product sound","0.820353","positive","0.992963","0.115597","0.476594","0.054883","0.097613","0.033418"
"","","","1","15","1","en","","","","","","","","",""
"400","not enough text provided for language detection","0e7fa6da5a72cdbf0ce12b95","","","","","","","","","","","","",""
"","","","1","107","1","en","color","0","neutral","0.942051","0.018945","0.714576","0.046162","0.003045","0.029264"
"","","","1","93","1","en","plump","0.92795","positive","0.944908","0.227779","0.575608","0.096169","0.056453","0.029098"
"","","","1","122","1","en","Spherical Glass","0.832645","positive","0.987495","0.075609","0.773297","0.061556","0.05471","0.015333"
"","","","1","102","1","en","delicious new jelly","0.91242","positive","0.908364","0.031005","0.874813","0.024513","0.012852","0.013962"
"","","","1","68","1","en","plumped look","0.903313","positive","0.964586","0.133372","0.513269","0.051192","0.091081","0.08639"
"","","","1","94","1","en","word","0.715131","positive","0.993041","0.136544","0.459148","0.031275","0.228703","0.054097"
"","","","1","60","1","en","smooth glide","0.785532","positive","0.974108","0.043218","0.52069","0.026502","0.01912","0.026384"
"","","","1","179","1","en","beads description","0.827577","positive","0.90324","0.571631","0.153012","0.109044","0.264554","0.097805"
"","","","1","39","1","en","gloss","-0.516879","negative","0.945553","0.12834","0.345353","0.078718","0.052868","0.335708"
"","","","1","98","1","en","soft description","0.576314","positive","0.946518","0.275794","0.332472","0.074338","0.216726","0.029195"
"","","","1","41","1","en","jelly gloss","0","neutral","0.940222","0.221254","0.17481","0.097063","0.108232","0.108682"
"","","","1","52","1","en","colors","0.575173","positive","0.988606","0.184222","0.375728","0.1017","0.04118","0.043975"
"","","","1","79","1","en","making","0","neutral","0.90105","0.335859","0.090252","0.288407","0.067867","0.154428"
"","","","1","43","1","en","watery","0","neutral","0.977353","0.598242","0.09672","0.146207","0.123789","0.104051"
"","","","1","95","1","en","aloe active ingredient","0","neutral","0.976773","0.034602","0.64129","0.062619","0.015508","0.018591"
"","","","1","83","1","en","product good features","0.845716","positive","0.977059","0.067278","0.451109","0.016969","0.023065","0.009277"
"","","","1","45","1","en","glide","0.795263","positive","0.986508","0.186806","0.144989","0.060799","0.087329","0.062782"
"","","","1","97","1","en","description","0","neutral","0.99474","0.40097","0.236732","0.130482","0.077668","0.044073"
"","","","1","86","1","en","different shades","0.673258","positive","0.906526","0.398694","0.223616","0.084419","0.111135","0.138278"
"","","","1","20","1","en","NEW FLVOR","0.592172","positive","0.95057","0.113017","0.669423","0.091965","0.043054","0.062351"
"","","","1","31","1","en","description","0","neutral","0.922138","0.070583","0.626046","0.066665","0.099758","0.032272"
